"npi","nb_article","annee"
"'dietary carbohydrates', 'endurance training', 'glucose polymer solution'","1.0","1986.0"
"'fasting', 'endurance training', 'diet'","1.0","1986.0"
"'beverages', 'calcium', 'coffee'","1.0","1986.0"
"'endurance training', 'creatine'","1.0","1986.0"
"'endurance training', 'food'","1.0","1986.0"
"'endurance training', 'muscle stretching exercises', 'weight lifting'","1.0","1986.0"
"'endurance training', 'aerobic exercise'","1.0","1986.0"
"'endurance training', 'iron'","1.0","1986.0"
"'endurance training', 'muscle stretching exercises'","6.0","1993.0"
"'muscle stretching exercises'","4.0","1993.0"
"'endurance training'","4.0","1993.0"
"'muscle stretching exercises', 'resistance training'","2.0","1993.0"
"'endurance training', 'dietary supplement'","2.0","1993.0"
"'beverages', 'dietary carbohydrates', 'endurance training'","2.0","1993.0"
"'dietary carbohydrates', 'endurance training', 'diet', 'glucose polymer solution'","1.0","1993.0"
"'physiotherapy', 'muscle stretching exercises'","1.0","1993.0"
"'dietary carbohydrates', 'diet'","1.0","1993.0"
"'dietary supplement', 'weight lifting', 'amino acids', 'carnitine', 'chromium'","1.0","1993.0"
"'muscle stretching exercises', 'plyometric exercise'","1.0","1993.0"
"'drainage', 'physiotherapy'","1.0","1993.0"
"'diet', 'dietary carbohydrates', 'endurance training', 'fasting'","1.0","1993.0"
"'muscle stretching exercises', 'health education'","1.0","1993.0"
"'endurance training', 'muscle stretching exercises', 'weight lifting', 'resistance training'","1.0","1993.0"
"'fasting', 'endurance training'","1.0","1993.0"
"'food', 'dietary fiber'","1.0","1993.0"
"'continuous passive motion'","1.0","1993.0"
"'acupuncture', 'endurance training', 'transcutaneous electric nerve stimulation', 'electric stimulation therapy'","1.0","1993.0"
"'psychotherapy', 'muscle stretching exercises', 'weight lifting'","1.0","1993.0"
"'dietary carbohydrates', 'diet', 'dietary supplement'","1.0","1993.0"
"'weight lifting'","1.0","1993.0"
"'counseling'","1.0","1993.0"
"'wrestling'","1.0","1993.0"
"'dairy products', 'dietary carbohydrates', 'dietary supplement'","1.0","1993.0"
"'calcium'","1.0","1993.0"
"'endurance training', 'pulmonary rehabilitation'","1.0","1993.0"
"'endurance training', 'physiotherapy'","1.0","1993.0"
"'physiotherapy'","1.0","1993.0"
"'electric stimulation therapy', 'muscle stretching exercises'","1.0","1993.0"
"'dietary carbohydrates', 'food', 'fruit', 'endurance training', 'banana'","1.0","1993.0"
"'physiotherapy', 'resistance training'","1.0","1993.0"
"'calcium', 'endurance training'","1.0","1993.0"
"'beverages', 'food'","1.0","1993.0"
"'diet', 'amino acids', 'carnitine'","1.0","1993.0"
"'diet'","1.0","1993.0"
"'endurance training'","5.0","1987.0"
"'coffee', 'endurance training'","2.0","1987.0"
"'muscle stretching exercises'","1.0","1987.0"
"'diet', 'food'","1.0","1987.0"
"'dietary carbohydrates', 'diet'","1.0","1987.0"
"'counseling'","1.0","1987.0"
"'dietary carbohydrates', 'endurance training'","1.0","1987.0"
"'cryotherapy', 'electric stimulation therapy', 'ultrasonic therapy'","1.0","1987.0"
"'carnitine', 'endurance training'","1.0","1987.0"
"'physiotherapy'","1.0","1987.0"
"'beverages', 'dietary carbohydrates', 'endurance training', 'diet'","1.0","1987.0"
"'weight lifting'","1.0","1987.0"
"'fasting', 'endurance training'","1.0","1987.0"
"'diet', 'dietary carbohydrates', 'fasting'","1.0","1987.0"
"'cryotherapy', 'massage'","1.0","1987.0"
"'beverages', 'dietary carbohydrates'","1.0","1987.0"
"'endurance training'","6.0","1991.0"
"'muscle stretching exercises'","5.0","1991.0"
"'health education'","2.0","1991.0"
"'coffee', 'endurance training'","2.0","1991.0"
"'dietary carbohydrates', 'endurance training'","2.0","1991.0"
"'weight lifting'","2.0","1991.0"
"'bandages'","2.0","1991.0"
"'diet'","1.0","1991.0"
"'ginseng'","1.0","1991.0"
"'dietary carbohydrates', 'diet'","1.0","1991.0"
"'walking'","1.0","1991.0"
"'diet', 'dietary carbohydrates'","1.0","1991.0"
"'plants'","1.0","1991.0"
"'dietary carbohydrates', 'endurance training', 'diet'","1.0","1991.0"
"'endurance training', 'weight lifting'","1.0","1991.0"
"'health education', 'endurance training'","1.0","1991.0"
"'dietary carbohydrates'","1.0","1991.0"
"'beverages', 'dietary carbohydrates', 'aerobic exercise'","1.0","1991.0"
"'sodium-restricted diet'","1.0","1991.0"
"'relaxation therapy'","1.0","1991.0"
"'beverages'","1.0","1991.0"
"'cannabis', 'coffee'","1.0","1991.0"
"'physiotherapy'","1.0","1991.0"
"'diet', 'vitamin e'","1.0","1991.0"
"'endurance training', 'creatine'","1.0","1991.0"
"'iron'","1.0","1991.0"
"'muscle stretching exercises', 'weight lifting', 'resistance training'","1.0","1991.0"
"'vitamins', 'vitamin c', 'vitamin e', 'minerals'","1.0","1991.0"
"'arginine'","1.0","1991.0"
"'counseling'","1.0","1991.0"
"'endurance training', 'coenzyme q10', 'dietary supplement'","1.0","1991.0"
"'diet', 'chromium'","1.0","1991.0"
"'endurance training'","6.0","1985.0"
"'dietary carbohydrates', 'endurance training'","1.0","1985.0"
"'diet', 'endurance training', 'resistance training'","1.0","1985.0"
"'diet', 'endurance training'","1.0","1985.0"
"'vitamin c', 'niacin', 'endurance training', 'vitamin b 12', 'vitamin e', 'vitamins', 'diet', 'vitamin a', 'food'","1.0","1985.0"
"'muscle stretching exercises', 'walking'","1.0","1985.0"
"'calcium'","1.0","1985.0"
"'muscle stretching exercises', 'creatine'","1.0","1985.0"
"'dietary supplement', 'diet', 'endurance training'","1.0","1985.0"
"'bandages'","1.0","1985.0"
"'diet', 'muscle stretching exercises', 'vitamins'","1.0","1985.0"
"'muscle stretching exercises'","1.0","1985.0"
"'coffee', 'endurance training', 'calcium'","1.0","1985.0"
"'coffee'","1.0","1985.0"
"'endurance training'","8.0","1995.0"
"'aerobic exercise'","2.0","1995.0"
"'beverages'","2.0","1995.0"
"'physiotherapy'","2.0","1995.0"
"'muscle stretching exercises'","2.0","1995.0"
"'muscle stretching exercises', 'walking'","2.0","1995.0"
"'dietary carbohydrates', 'endurance training'","2.0","1995.0"
"'dietary carbohydrates', 'diet'","2.0","1995.0"
"'endurance training', 'muscle stretching exercises'","2.0","1995.0"
"'body image', 'weight lifting'","1.0","1995.0"
"'endurance training', 'walking'","1.0","1995.0"
"'dietary supplement'","1.0","1995.0"
"'muscle stretching exercises', 'weight lifting', 'resistance training'","1.0","1995.0"
"'health education', 'endurance training'","1.0","1995.0"
"'diet', 'dietary supplement'","1.0","1995.0"
"'endurance training', 'vitamins'","1.0","1995.0"
"'endurance training', 'muscle stretching exercises', 'weight lifting', 'resistance training'","1.0","1995.0"
"'dietary carbohydrates', 'endurance training', 'diet'","1.0","1995.0"
"'muscle stretching exercises', 'weight lifting'","1.0","1995.0"
"'bandages'","1.0","1995.0"
"'endurance training', 'aerobic exercise'","1.0","1995.0"
"'diet'","1.0","1995.0"
"'transcutaneous electric nerve stimulation', 'creatine'","1.0","1995.0"
"'coffee', 'calcium'","1.0","1995.0"
"'electric stimulation therapy', 'endurance training'","1.0","1995.0"
"'dietary carbohydrates'","1.0","1995.0"
"'beverages', 'endurance training', 'creatine'","1.0","1995.0"
"'beverages', 'endurance training'","1.0","1995.0"
"'carnitine', 'diet', 'dairy products', 'amino acids'","1.0","1995.0"
"'health education', 'endurance training', 'muscle stretching exercises', 'calcium'","1.0","1995.0"
"'branched-chain amino acids', 'endurance training', 'amino acids'","1.0","1995.0"
"'diet', 'dietary carbohydrates', 'endurance training'","1.0","1995.0"
"'endurance training', 'creatine', 'aerobic exercise'","1.0","1995.0"
"'physiotherapy', 'walking'","1.0","1995.0"
"'endurance training', 'iron', 'fatty acids, unsaturated'","1.0","1995.0"
"'health education'","1.0","1995.0"
"'endurance training', 'water exercise interventions'","1.0","1995.0"
"'video-based education'","1.0","1995.0"
"'muscle stretching exercises', 'endurance training'","1.0","1995.0"
"'muscle stretching exercises', 'resistance training'","1.0","1995.0"
"'muscle stretching exercises', 'fasting'","1.0","1995.0"
"'endurance training', 'melatonin'","1.0","1995.0"
"'endurance training', 'iron'","1.0","1995.0"
"'dietary carbohydrates', 'dietary fats', 'endurance training', 'diet'","1.0","1995.0"
"'coffee', 'endurance training'","1.0","1995.0"
"'branched-chain amino acids', 'amino acids'","1.0","1995.0"
"'dietary carbohydrates', 'muscle stretching exercises'","1.0","1995.0"
"'dairy products', 'muscle stretching exercises', 'weight lifting', 'calcium'","1.0","1995.0"
"'muscle stretching exercises'","12.0","1996.0"
"'endurance training'","8.0","1996.0"
"'physiotherapy'","4.0","1996.0"
"'diet'","3.0","1996.0"
"'electric stimulation therapy', 'endurance training'","2.0","1996.0"
"'weight lifting'","2.0","1996.0"
"'creatine', 'dietary supplement'","2.0","1996.0"
"'creatine', 'endurance training'","2.0","1996.0"
"'dairy products', 'diet', 'endurance training', 'calcium'","1.0","1996.0"
"'endurance training', 'physiotherapy'","1.0","1996.0"
"'cryotherapy', 'muscle relaxation', 'physiotherapy', 'massage'","1.0","1996.0"
"'diet', 'dietary carbohydrates', 'endurance training'","1.0","1996.0"
"'electric stimulation therapy', 'muscle stretching exercises', 'resistance training', 'walking'","1.0","1996.0"
"'mountaineering'","1.0","1996.0"
"'endurance training', 'amino acids'","1.0","1996.0"
"'psychotherapy'","1.0","1996.0"
"'endurance training', 'creatine'","1.0","1996.0"
"'dietary supplement', 'endurance training'","1.0","1996.0"
"'endurance training', 'iron'","1.0","1996.0"
"'resistant starch'","1.0","1996.0"
"'physiotherapy', 'muscle stretching exercises'","1.0","1996.0"
"'wave therapy'","1.0","1996.0"
"'vegetarian diet', 'health education'","1.0","1996.0"
"'endurance training', 'vitamin e', 'vitamins', 'dietary supplement'","1.0","1996.0"
"'dietary supplement', 'creatine'","1.0","1996.0"
"'electric stimulation therapy', 'endurance training', 'muscle stretching exercises'","1.0","1996.0"
"'endurance training', 'weight lifting', 'diet', 'amino acids'","1.0","1996.0"
"'dietary carbohydrates', 'endurance training'","1.0","1996.0"
"'endurance training', 'beverages'","1.0","1996.0"
"'muscle stretching exercises', 'calcium', 'calcium carbonate'","1.0","1996.0"
"'endurance training', 'aerobic exercise'","1.0","1996.0"
"'physiotherapy', 'walking'","1.0","1996.0"
"'branched-chain amino acids', 'coffee', 'carnitine', 'creatine', 'diet', 'dietary fats', 'endurance training', 'food', 'amino acids'","1.0","1996.0"
"'health education'","1.0","1996.0"
"'beverages', 'dietary carbohydrates', 'diet'","1.0","1996.0"
"'creatine'","1.0","1996.0"
"'coffee', 'endurance training'","1.0","1996.0"
"'endurance training', 'resistant starch'","1.0","1996.0"
"'glutamine', 'endurance training'","1.0","1996.0"
"'dietary carbohydrates', 'dietary fats', 'endurance training', 'diet'","1.0","1996.0"
"'dietary carbohydrates', 'dietary fats'","1.0","1996.0"
"'hyperbaric oxygenation', 'hyperbaric oxygen therapy'","1.0","1996.0"
"'resistance training'","1.0","1996.0"
"'health education', 'diet', 'body image'","1.0","1996.0"
"'dietary carbohydrates', 'diet'","1.0","1996.0"
"'food', 'muscle stretching exercises', 'physiotherapy', 'occupational therapy'","1.0","1996.0"
"'endurance training', 'muscle stretching exercises', 'weight lifting', 'resistance training', 'pulmonary rehabilitation'","1.0","1996.0"
"'amino acids', 'branched-chain amino acids'","1.0","1996.0"
"'muscle stretching exercises', 'aerobic exercise'","1.0","1996.0"
"'health education', 'muscle stretching exercises'","1.0","1996.0"
"'muscle stretching exercises', 'weight lifting'","1.0","1996.0"
"'creatine', 'endurance training', 'video-based education'","1.0","1996.0"
"'endurance training', 'muscle stretching exercises'","1.0","1996.0"
"'endurance training'","9.0","1992.0"
"'muscle stretching exercises'","6.0","1992.0"
"'calcium', 'endurance training', 'magnesium'","1.0","1992.0"
"'oscillating positive expiratory pressure', 'muscle stretching exercises', 'physiotherapy', 'pulmonary rehabilitation'","1.0","1992.0"
"'amino acids', 'branched-chain amino acids'","1.0","1992.0"
"'endurance training', 'arginine'","1.0","1992.0"
"'behavior therapy', 'muscle stretching exercises', 'physiotherapy', 'psychotherapy'","1.0","1992.0"
"'endurance training', 'carnitine'","1.0","1992.0"
"'food'","1.0","1992.0"
"'electric stimulation therapy'","1.0","1992.0"
"'rice'","1.0","1992.0"
"'resistance training', 'weight lifting'","1.0","1992.0"
"'physiotherapy'","1.0","1992.0"
"'muscle stretching exercises', 'health education'","1.0","1992.0"
"'vitamin c', 'endurance training', 'iron'","1.0","1992.0"
"'electric stimulation therapy', 'endurance training'","1.0","1992.0"
"'endurance training', 'muscle stretching exercises'","1.0","1992.0"
"'endurance training', 'sodium phosphate'","1.0","1992.0"
"'muscle stretching exercises', 'endurance training', 'pulmonary rehabilitation', 'diet'","1.0","1992.0"
"'dietary carbohydrates', 'endurance training'","1.0","1992.0"
"'muscle stretching exercises', 'creatine'","1.0","1992.0"
"'beverages'","1.0","1992.0"
"'health education', 'muscle stretching exercises', 'walking'","1.0","1992.0"
"'transcutaneous electric nerve stimulation', 'resistance training', 'electric stimulation therapy'","1.0","1992.0"
"'psychotherapy'","1.0","1992.0"
"'calcium'","1.0","1992.0"
"'muscle stretching exercises', 'creatine', 'aerobic exercise'","1.0","1992.0"
"'prehabilitation'","1.0","1992.0"
"'aerobic exercise'","1.0","1992.0"
"'muscle stretching exercises', 'endurance training'","1.0","1992.0"
"'dietary carbohydrates', 'endurance training', 'diet', 'food'","1.0","1992.0"
"'health education'","1.0","1992.0"
"'adrenal extract'","1.0","1992.0"
"'diet', 'endurance training', 'vitamin e', 'coenzyme q10', 'calcium'","1.0","1992.0"
"'endurance training', 'wrestling', 'resistance training'","1.0","1992.0"
"'diet', 'muscle stretching exercises', 'food'","1.0","1992.0"
"'endurance training', 'iron'","1.0","1992.0"
"'psychotherapy', 'muscle stretching exercises', 'aerobic exercise'","1.0","1992.0"
"'endurance training'","9.0","1994.0"
"'muscle stretching exercises'","3.0","1994.0"
"'iron'","2.0","1994.0"
"'calcium', 'diet', 'vitamins', 'minerals', 'iron'","1.0","1994.0"
"'carnitine', 'endurance training'","1.0","1994.0"
"'chiropractic manipulation'","1.0","1994.0"
"'oscillating positive expiratory pressure', 'muscle stretching exercises'","1.0","1994.0"
"'muscle stretching exercises', 'diet', 'vitamin c', 'riboflavin', 'vitamins', 'food', 'vitamin b 6', 'vitamin b 1'","1.0","1994.0"
"'dance therapy', 'physiotherapy', 'muscle stretching exercises'","1.0","1994.0"
"'wrestling', 'aerobic exercise'","1.0","1994.0"
"'endurance training', 'sodium bicarbonate'","1.0","1994.0"
"'beverages'","1.0","1994.0"
"'beverages', 'endurance training'","1.0","1994.0"
"'walking'","1.0","1994.0"
"'endurance training', 'muscle stretching exercises'","1.0","1994.0"
"'coffee', 'endurance training', 'diet'","1.0","1994.0"
"'coffee', 'calcium'","1.0","1994.0"
"'dietary carbohydrates', 'endurance training', 'diet'","1.0","1994.0"
"'endurance training', 'vitamin e', 'aerobic exercise'","1.0","1994.0"
"'body image', 'diet'","1.0","1994.0"
"'physiotherapy'","1.0","1994.0"
"'chinese herbal drugs', 'ginseng', 'plants, medicinal'","1.0","1994.0"
"'calcium', 'calcium carbonate'","1.0","1994.0"
"'endurance training', 'creatine'","1.0","1994.0"
"'coffee', 'endurance training'","1.0","1994.0"
"'cognitive behavioral therapy'","1.0","1994.0"
"'diet'","1.0","1994.0"
"'calcium'","1.0","1994.0"
"'amino acids', 'dietary supplement', 'magnesium', 'muscle stretching exercises'","1.0","1994.0"
"'oscillating positive expiratory pressure', 'endurance training'","1.0","1994.0"
"'dietary carbohydrates', 'diet', 'endurance training'","1.0","1994.0"
"'dietary carbohydrates', 'food', 'endurance training'","1.0","1994.0"
"'coffee'","1.0","1994.0"
"'muscle stretching exercises'","11.0","1998.0"
"'endurance training'","11.0","1998.0"
"'walking'","3.0","1998.0"
"'creatine'","2.0","1998.0"
"'diet'","2.0","1998.0"
"'facilitator to screening'","2.0","1998.0"
"'coffee', 'endurance training'","2.0","1998.0"
"'dietary fats', 'endurance training'","2.0","1998.0"
"'endurance training', 'creatine'","1.0","1998.0"
"'dietary supplement', 'endurance training'","1.0","1998.0"
"'muscle stretching exercises', 'high-intensity interval training'","1.0","1998.0"
"'health education', 'endurance training', 'pulmonary rehabilitation', 'psychotherapy'","1.0","1998.0"
"'dietary supplement'","1.0","1998.0"
"'electric stimulation therapy', 'muscle stretching exercises'","1.0","1998.0"
"'physiotherapy', 'bandages'","1.0","1998.0"
"'creatine', 'dietary supplement', 'endurance training'","1.0","1998.0"
"'beverages', 'dietary carbohydrates', 'dietary supplement', 'food', 'endurance training', 'muscle stretching exercises'","1.0","1998.0"
"'coffee'","1.0","1998.0"
"'diet', 'endurance training', 'muscle stretching exercises', 'weight lifting', 'resistance training'","1.0","1998.0"
"'physiotherapy', 'muscle stretching exercises'","1.0","1998.0"
"'endurance training', 'pulmonary rehabilitation'","1.0","1998.0"
"'oscillating positive expiratory pressure', 'endurance training'","1.0","1998.0"
"'muscle stretching exercises', 'endurance training'","1.0","1998.0"
"'creatine', 'dietary supplement', 'weight lifting'","1.0","1998.0"
"'dietary fats', 'fasting', 'diet'","1.0","1998.0"
"'creatine', 'dietary supplement', 'endurance training', 'muscle stretching exercises', 'weight lifting', 'diet', 'fasting', 'taurine', 'sodium phosphate'","1.0","1998.0"
"'dietary supplement', 'vitamin k', 'calcium'","1.0","1998.0"
"'endurance training', 'arginine'","1.0","1998.0"
"'dietary carbohydrates', 'diet', 'food'","1.0","1998.0"
"'muscle stretching exercises', 'walking'","1.0","1998.0"
"'diet', 'food', 'endurance training', 'dietary fiber'","1.0","1998.0"
"'endurance training', 'resistance training'","1.0","1998.0"
"'beverages', 'dietary carbohydrates', 'fasting', 'endurance training'","1.0","1998.0"
"'endurance training', 'phytotherapy', 'plants, medicinal'","1.0","1998.0"
"'branched-chain amino acids', 'dietary supplement', 'endurance training', 'amino acids'","1.0","1998.0"
"'beverages'","1.0","1998.0"
"'weight lifting', 'resistance training'","1.0","1998.0"
"'creatine', 'dietary supplement', 'endurance training', 'resistance training'","1.0","1998.0"
"'arginine'","1.0","1998.0"
"'creatine', 'dietary supplement'","1.0","1998.0"
"'diet', 'muscle stretching exercises'","1.0","1998.0"
"'facilitator to screening', 'muscle stretching exercises', 'aerobic exercise'","1.0","1998.0"
"'adrenal extract'","1.0","1998.0"
"'muscle stretching exercises', 'video-based education'","1.0","1998.0"
"'psychotherapy', 'health education', 'muscle stretching exercises', 'endurance training'","1.0","1998.0"
"'magnesium'","1.0","1998.0"
"'endurance training', 'food'","1.0","1998.0"
"'dietary carbohydrates', 'dietary fats', 'endurance training', 'diet'","1.0","1998.0"
"'baths'","1.0","1998.0"
"'muscle stretching exercises', 'socioenvironmental therapy'","1.0","1998.0"
"'breathing exercises', 'endurance training'","1.0","1998.0"
"'dietary carbohydrates', 'diet'","1.0","1998.0"
"'dietary supplement', 'glutamine', 'food'","1.0","1998.0"
"'oscillating positive expiratory pressure', 'health education', 'muscle stretching exercises', 'calcium'","1.0","1998.0"
"'endurance training', 'muscle stretching exercises'","1.0","1998.0"
"'dietary supplement', 'food', 'endurance training', 'iron'","1.0","1998.0"
"'dietary carbohydrates', 'endurance training'","1.0","1998.0"
"'coffee', 'carnitine', 'dietary carbohydrates', 'dietary fats', 'diet', 'endurance training'","1.0","1998.0"
"'coffee', 'creatine', 'endurance training', 'aerobic exercise'","1.0","1998.0"
"'endurance training', 'weight lifting', 'resistance training'","1.0","1998.0"
"'dietary carbohydrates'","1.0","1998.0"
"'muscle stretching exercises'","15.0","1999.0"
"'endurance training'","13.0","1999.0"
"'dietary carbohydrates', 'endurance training'","3.0","1999.0"
"'health education'","3.0","1999.0"
"'endurance training', 'muscle stretching exercises'","2.0","1999.0"
"'beverages', 'endurance training'","2.0","1999.0"
"'walking'","2.0","1999.0"
"'dietary supplement', 'health education'","2.0","1999.0"
"'food'","2.0","1999.0"
"'physiotherapy'","2.0","1999.0"
"'thermalism', 'muscle stretching exercises'","1.0","1999.0"
"'muscle stretching exercises', 'creatine'","1.0","1999.0"
"'psychotherapy', 'health education', 'muscle stretching exercises'","1.0","1999.0"
"'creatine', 'diet', 'dietary supplement'","1.0","1999.0"
"'endurance training', 'muscle stretching exercises', 'weight lifting', 'diet', 'resistance training'","1.0","1999.0"
"'endurance training', 'muscle stretching exercises', 'weight lifting'","1.0","1999.0"
"'calcium'","1.0","1999.0"
"'facilitator to screening'","1.0","1999.0"
"'diet', 'weight lifting', 'food'","1.0","1999.0"
"'resistance training'","1.0","1999.0"
"'dietary carbohydrates', 'endurance training', 'muscle stretching exercises', 'creatine'","1.0","1999.0"
"'dietary supplement', 'vitamin e', 'selenium', 'vitamins'","1.0","1999.0"
"'diet', 'dietary carbohydrates', 'eicosanoids', 'endurance training'","1.0","1999.0"
"'amino acids', 'branched-chain amino acids', 'dietary supplement', 'glutamine', 'diet', 'endurance training', 'arginine'","1.0","1999.0"
"'endurance training', 'diet'","1.0","1999.0"
"'dietary supplement', 'endurance training', 'creatine'","1.0","1999.0"
"'creatine', 'dietary supplement', 'calcium'","1.0","1999.0"
"'dietary carbohydrates', 'endurance training', 'steam bath'","1.0","1999.0"
"'weight lifting'","1.0","1999.0"
"'aerobic exercise'","1.0","1999.0"
"'diet', 'vitamin c', 'glutamine', 'beverages'","1.0","1999.0"
"'creatine', 'endurance training'","1.0","1999.0"
"'dietary carbohydrates', 'dietary fats', 'diet', 'endurance training'","1.0","1999.0"
"'beverages', 'muscle stretching exercises'","1.0","1999.0"
"'diet', 'resistance training'","1.0","1999.0"
"'endurance training', 'weight lifting', 'resistance training'","1.0","1999.0"
"'creatine', 'dietary supplement'","1.0","1999.0"
"'diet', 'muscle stretching exercises'","1.0","1999.0"
"'creatine'","1.0","1999.0"
"'ginseng', 'plants, medicinal'","1.0","1999.0"
"'beverages'","1.0","1999.0"
"'dietary carbohydrates', 'dietary fats', 'endurance training', 'diet'","1.0","1999.0"
"'dairy products', 'diet', 'calcium', 'minerals', 'walking'","1.0","1999.0"
"'amino acids', 'coffee', 'creatine', 'dietary carbohydrates', 'dietary supplement', 'vitamins'","1.0","1999.0"
"'branched-chain amino acids', 'dietary carbohydrates', 'dietary supplement', 'endurance training', 'beverages', 'walking', 'amino acids'","1.0","1999.0"
"'muscle stretching exercises', 'walking'","1.0","1999.0"
"'oscillating positive expiratory pressure'","1.0","1999.0"
"'calcium', 'dietary supplement', 'diet', 'resistance training', 'fasting'","1.0","1999.0"
"'phytotherapy', 'plants, medicinal', 'weight lifting', 'wrestling'","1.0","1999.0"
"'creatine', 'dietary supplement', 'arginine', 'amino acids'","1.0","1999.0"
"'cognitive behavioral therapy', 'stress management', 'cognitive-behavioral stress management program'","1.0","1999.0"
"'dietary carbohydrates', 'aerobic exercise'","1.0","1999.0"
"'glutamine'","1.0","1999.0"
"'rice'","1.0","1999.0"
"'amino acids', 'branched-chain amino acids', 'endurance training'","1.0","1999.0"
"'beverages', 'dietary carbohydrates'","1.0","1999.0"
"'muscle stretching exercises'","14.0","1997.0"
"'endurance training'","13.0","1997.0"
