"out","nb_article","annee"
"'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","1989.0"
"'sport performance|health|rehabilitation'","2.0","1990.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","2.0","1990.0"
"'sport performance|physiological performance|blood flow'","1.0","1990.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","1990.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|physiological performance|homeostasis'","1.0","1990.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|collapse'","1.0","1990.0"
"'sport performance|health|injuries|head  injuries|otitis externa'","1.0","1990.0"
"'sport performance|performance recovery|physiological recovery|muscle recruitment'","1.0","1990.0"
"'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1990.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1990.0"
"'sport performance|physical performance|mobility performance|mobility', 'sport performance|physiological performance|inflammation', 'sport performance|health|rehabilitation'","1.0","1990.0"
"'sport performance|physical performance|strength performance'","1.0","1990.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|chest pain'","1.0","1990.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|performance recovery|physiological recovery|muscle soreness'","1.0","1990.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","1990.0"
"'sport performance|physical performance'","1.0","1990.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1990.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|health|reconditioning|restore performance functions|physiological function'","1.0","1990.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|chest pain', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|vomiting', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|abdominal pain'","1.0","1990.0"
"'sport performance|mental performance|self perception|self-esteem'","1.0","1990.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|health|organ system/region illnesses|neurological illnesses|muscle weakness'","1.0","1990.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|erythropoiesis', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","1990.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","1990.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|physiological performance|homeostasis'","1.0","1990.0"
"'sport performance|physical performance|velocity|peak velocity'","1.0","1990.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy', 'sport performance|physical performance|endurance performance|endurance exercise performance', 'sport performance|physical performance|endurance performance|aerobic performance|maximal aerobic power'","1.0","1990.0"
"'sport performance|physiological performance|body composition|skeletal muscle mass'","1.0","1990.0"
"'sport performance|physical performance|endurance performance|endurance capacity'","1.0","1990.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","1990.0"
"'sport performance|mental performance|emotion management|mood', 'sport performance|mental performance|mental health'","1.0","1990.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","4.0","1991.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","4.0","1991.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","3.0","1991.0"
"'sport performance|physiological performance|body composition|muscle mass'","2.0","1991.0"
"'sport performance|physical performance|endurance performance'","2.0","1991.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","2.0","1991.0"
"'sport performance|physical performance|exercise performance'","2.0","1991.0"
"'sport performance|physical performance|strength performance|muscle strength'","2.0","1991.0"
"'sport performance|health|rehabilitation'","2.0","1991.0"
"'sport performance|performance recovery|physiological recovery|electrolyte balance|fluid-electrolyte balance', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","1991.0"
"'physiological performance|specific environnement adaptations|altitude performance|altitude adaptations|training adaptations'","1.0","1991.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|lactate threshold', 'sport performance|physical performance|endurance performance', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","1991.0"
"'sport performance|mental performance|emotion management|stress management|psychological state'","1.0","1991.0"
"'sport performance|physical performance|strength performance|maximal voluntary contraction', 'sport performance|physical performance|endurance performance|endurance exercise performance'","1.0","1991.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physical performance|exercise performance'","1.0","1991.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physical performance|exercise performance'","1.0","1991.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|swimming performance'","1.0","1991.0"
"'sport performance|physical performance'","1.0","1991.0"
"'sport performance|health|injuries|foot and ankle injuries|ankle sprain'","1.0","1991.0"
"'sport performance|performance recovery|physiological recovery|muscle repair'","1.0","1991.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","1991.0"
"'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|physiological performance|homeostasis|blood homeostasis', 'sport performance|physiological performance|homeostasis'","1.0","1991.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","1991.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|haematocrit'","1.0","1991.0"
"'sport performance|health|injuries|lower limb injuries|quadriceps injury'","1.0","1991.0"
"'sport performance|physiological performance|body composition'","1.0","1991.0"
"'sport performance|physiological performance|heart rate', 'sport performance|economical'","1.0","1991.0"
"'sport performance|physiological performance|homeostasis|blood pressure'","1.0","1991.0"
"'sport performance|mental performance|psychological skills|confidence', 'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","1991.0"
"'sport performance|physiological performance|heart rate'","1.0","1991.0"
"'sport performance|physical performance|power performance|aerobic power'","1.0","1991.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy', 'sport performance|physical performance|endurance performance'","1.0","1991.0"
"'sport performance|physical performance'","4.0","1994.0"
"'sport performance|health|rehabilitation'","3.0","1994.0"
"'sport performance|physiological performance|heart rate'","2.0","1994.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","2.0","1994.0"
"'sport performance|physical performance', 'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","1994.0"
"'sport performance|physical performance|endurance performance'","1.0","1994.0"
"'sport performance|mental performance|mental health|mental disorders|eating disorder'","1.0","1994.0"
"'sport performance|physiological performance|body composition', 'sport performance|physical performance|strength performance|muscle strength'","1.0","1994.0"
"'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1994.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physiological performance|body composition|body fat'","1.0","1994.0"
"'sport performance|health|organ system/region illnesses|genitourinary illnesses|irregular menstruation'","1.0","1994.0"
"'sport performance|physiological performance|heart rate', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","1994.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|health|rehabilitation'","1.0","1994.0"
"'sport performance|physiological performance|fat metabolism'","1.0","1994.0"
"'sport performance|physical performance', 'sport performance|physical performance|power performance|aerobic power'","1.0","1994.0"
"'sport performance|physical performance|endurance performance|endurance capacity'","1.0","1994.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","1994.0"
"'sport performance|performance recovery|psychological recovery|sleep'","1.0","1994.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physical performance|exercise performance'","1.0","1994.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","1994.0"
"'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance'","1.0","1994.0"
"'sport performance|health|injuries|upper limb injuries'","1.0","1994.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","1994.0"
"'sport performance|physical performance', 'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","1.0","1994.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|hematological parameters'","1.0","1994.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|health|rehabilitation'","1.0","1994.0"
"'sport performance|mental performance|emotion management|stress management|stress'","1.0","1994.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","1994.0"
"'sport performance|physiological performance|bone health|bone metabolism'","1.0","1994.0"
"'sport performance|physiological performance|cardiorespiratory performance'","1.0","1994.0"
"'sport performance|physiological performance|muscle metabolism|lactate levels'","1.0","1994.0"
"'sport performance|physiological performance|body composition|muscle mass'","1.0","1994.0"
"'sport performance|physical performance|exercise performance'","1.0","1994.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|heartburn'","1.0","1994.0"
"'sport performance|physiological performance|body composition'","1.0","1994.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|vomiting', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|abdominal pain', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|diarrhea', 'sport performance|health|oral health|self-medication'","1.0","1994.0"
"'sport performance|health|injuries|foot and ankle injuries|plantar fasciitis', 'sport performance|health|injuries|upper limb injuries|medial epicondylitis'","1.0","1994.0"
"'sport performance|physical performance|exercise performance'","6.0","1995.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","5.0","1995.0"
"'sport performance|health|rehabilitation'","3.0","1995.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","3.0","1995.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","3.0","1995.0"
"'sport performance|physical performance'","3.0","1995.0"
"'sport performance|physical performance|endurance performance'","2.0","1995.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","1.0","1995.0"
"'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance'","1.0","1995.0"
"'sport performance|physiological performance|bone density', 'sport performance|physiological performance|bone health|bone formation'","1.0","1995.0"
"'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|homeostasis|potassium homeostasis', 'sport performance|physiological performance|homeostasis'","1.0","1995.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","1995.0"
"'sport performance|mental performance|emotion management|mood'","1.0","1995.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|functional rehabilitation'","1.0","1995.0"
"'skill performance|motor skill performance|gross motor skill performance|swimming performance|swimming economy', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physiological performance|maximal cardiac output', 'sport performance|mental performance|emotion management|stress management|stress'","1.0","1995.0"
"'sport performance|physiological performance|blood flow'","1.0","1995.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen content'","1.0","1995.0"
"'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1995.0"
"'sport performance|mental performance|psychological skills|anxiety control|anxiety'","1.0","1995.0"
"'sport performance|physical performance|strength performance|maximum strength'","1.0","1995.0"
"'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1995.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|blood glucose levels', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1995.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|cardiac performance', 'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|mental performance|emotion management|stress management|psychological stress'","1.0","1995.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","1995.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|chest pain'","1.0","1995.0"
"'sport performance|performance recovery|physical recovery|overtraining', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|physiological strain'","1.0","1995.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy'","1.0","1995.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain'","1.0","1995.0"
"'sport performance|physical performance', 'sport performance|mental performance|mental health|mental disorders|drug abuse'","1.0","1995.0"
"""sport performance|health|injuries|wrist and hand injuries|skier's thumb""","1.0","1995.0"
"'physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|sweating|sweat loss', 'sport performance|mental performance|perceived exertion'","1.0","1995.0"
"'sport performance|physical performance', 'sport performance|health|rehabilitation'","1.0","1995.0"
"'sport performance|physical performance|strength performance|muscle strength'","1.0","1995.0"
"'sport performance|physiological performance|acid-base balance'","1.0","1995.0"
"'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","1995.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","1995.0"
"'sport performance|performance recovery|physiological recovery|muscle soreness'","1.0","1995.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint capacity', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","1995.0"
"'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|ionic homeostasis'","1.0","1995.0"
"'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|thermal homeostasis'","1.0","1995.0"
"'sport performance|mental performance|emotion management|stress management|stress'","1.0","1995.0"
"'sport performance|physiological performance|heart rate', 'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","1.0","1995.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen concentrations'","1.0","1995.0"
"'sport performance|physiological performance|body composition|body fat'","1.0","1995.0"
"'sport performance|health|injuries|knees injuries|anterior cruciate ligament injury'","1.0","1995.0"
"'sport performance|health|rehabilitation'","3.0","1987.0"
"'sport performance|physical performance'","2.0","1987.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","2.0","1987.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","1987.0"
"'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","1987.0"
"'sport performance|physical performance', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1987.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physical performance|exercise performance'","1.0","1987.0"
"'sport performance|physiological performance|homeostasis|blood pressure'","1.0","1987.0"
"'sport performance|physiological performance|body composition|muscle mass', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","1987.0"
"'sport performance|physiological performance|body composition'","1.0","1987.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint performance', 'sport performance|physical performance|endurance performance'","1.0","1987.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","1987.0"
"'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","1987.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","1987.0"
"'sport performance|physiological performance|heart rate'","1.0","1987.0"
"'sport performance|physical performance|endurance performance', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","1987.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","1987.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","5.0","2001.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","4.0","2001.0"
"'sport performance|physiological performance|heart rate'","4.0","2001.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","4.0","2001.0"
"'sport performance|physiological performance|body composition'","3.0","2001.0"
"'sport performance|physical performance|exercise performance'","3.0","2001.0"
"'sport performance|health|rehabilitation'","3.0","2001.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen'","2.0","2001.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","2.0","2001.0"
"'sport performance|physical performance'","2.0","2001.0"
"'sport performance|physical performance|velocity'","2.0","2001.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","2.0","2001.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|functional rehabilitation'","2.0","2001.0"
"'sport performance|physiological performance|heart rate', 'sport performance|performance recovery|physiological recovery|heart rate recovery'","2.0","2001.0"
"'sport performance|physiological performance|heart rate', 'sport performance|mental performance|cognitive performance|coping skills|coping behaviour', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","2001.0"
"'health|rehabilitation|restore balance|muscular balance rehabilitation|muscle flexibility'","1.0","2001.0"
"'sport performance|health|injuries|neurological injuries|concussion'","1.0","2001.0"
"'sport performance|physical performance|stability performance|shoulder stability', 'sport performance|physiological performance|inflammation', ""sport performance|health|injuries|shoulder injuries|swimmer's shoulder""","1.0","2001.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","2001.0"
"'sport performance|physical performance|endurance performance|aerobic performance|aerobic endurance'","1.0","2001.0"
"'sport performance|performance recovery|psychological recovery|sleep', 'sport performance|performance recovery|psychological recovery|sleep|sleep quality', 'sport performance|physical performance'","1.0","2001.0"
"'sport performance|health|organ system/region illnesses|musculoskeletalillnesses|muscle pain'","1.0","2001.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|menstrual dysfunction'","1.0","2001.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen levels'","1.0","2001.0"
"'sport performance|physiological performance|body composition', 'sport performance|physical performance|exercise performance'","1.0","2001.0"
"'sport performance|mental performance|emotion management|stress management|stress'","1.0","2001.0"
"'sport performance|mental performance|cognitive performance|spatial intelligence|spatial learning'","1.0","2001.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|glycogen storage', 'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","2001.0"
"'sport performance|physiological performance|renal function', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2001.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'physiological performance|specific environnement adaptations|altitude performance|blood parameters|red blood cell volume'","1.0","2001.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physiological performance|heart rate|heart rate variability'","1.0","2001.0"
"'sport performance|physical performance|strength performance|maximum strength'","1.0","2001.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physical performance|exercise performance'","1.0","2001.0"
"'sport performance|health|injuries|shoulder injuries|shoulder dislocation'","1.0","2001.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|physiological strain'","1.0","2001.0"
"'sport performance|physiological performance|fat metabolism'","1.0","2001.0"
"'sport performance|physical performance|endurance performance|endurance capacity'","1.0","2001.0"
"'sport performance|health|injuries|foot and ankle injuries|ankle sprain'","1.0","2001.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","2001.0"
"'sport performance|physiological performance|body composition|muscle mass'","1.0","2001.0"
"'sport performance|physical performance|flexibility performance|muscle stiffness', 'sport performance|health|rehabilitation|functional rehabilitation|neuromuscular control'","1.0","2001.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen synthesis'","1.0","2001.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint time', 'skill performance|motor skill performance|gross motor skill performance|running performance|sprint performance'","1.0","2001.0"
"'sport performance|performance recovery|physiological recovery|muscle damage', 'sport performance|performance recovery|faster recovery'","1.0","2001.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy'","1.0","2001.0"
"'sport performance|physiological performance|physiological adaptations'","1.0","2001.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|health|rehabilitation'","1.0","2001.0"
"'sport performance|physiological performance|body composition', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","2001.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|performance recovery|physical recovery|overtraining'","1.0","2001.0"
"'sport performance|health|rehabilitation|reflex control'","1.0","2001.0"
"'sport performance|physical performance|stability', 'sport performance|health|rehabilitation'","1.0","2001.0"
"'sport performance|health|injuries|foot and ankle injuries|plantar fasciitis'","1.0","2001.0"
"'sport performance|physical performance|strength performance|muscle strength|inspiratory muscle strength'","1.0","2001.0"
"'sport performance|physical performance|endurance performance'","1.0","2001.0"
"'sport performance|mental performance|psychomotor performance'","1.0","2001.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physical performance|velocity'","1.0","2001.0"
"'sport performance|mental performance|emotion management|mood'","1.0","2001.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","2001.0"
"'sport performance|performance recovery|physiological recovery|muscle damage'","1.0","2001.0"
"'sport performance|physical performance|flexibility performance|hamstring flexibility', 'sport performance|health|rehabilitation', 'health|rehabilitation|restore balance|muscular balance rehabilitation|muscle flexibility'","1.0","2001.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physical performance|exercise performance'","1.0","2001.0"
"'physiological performance|specific environnement adaptations|altitude performance|erythropoiesis|epo levels'","1.0","2001.0"
"'sport performance|physiological performance|muscle regeneration', 'sport performance|health|injuries|foot and ankle injuries|ankle sprain'","1.0","2001.0"
"'sport performance|health|rehabilitation|joint range of motion'","1.0","2001.0"
"'sport performance|health|injuries|upper limb injuries|lateral epicondylitis'","1.0","2001.0"
"'sport performance|physiological performance|body composition', 'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance', 'sport performance|physiological performance|muscle metabolism|muscle creatine'","1.0","2001.0"
"'sport performance|physiological performance|body composition|muscle mass', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2001.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint performance', 'physiological performance|specific environnement adaptations|altitude performance|high-altitude illnesses|fatigue resistance', 'sport performance|physical performance|velocity|sprint velocity', 'sport performance|physical performance|velocity'","1.0","2001.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|electrolyte imbalances'","1.0","2001.0"
"'sport performance|mental performance|psychological skills|confidence'","1.0","2001.0"
"'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2001.0"
"'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","2001.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|adaptive response'","1.0","2001.0"
