pmid|doi|ttl|jn|pub|dis|pop|out|abs|eff
33535507|10.3390/ijerph18031291|effects of exercise in patients undergoing chemotherapy for head and neck cancer: a pilot randomized controlled trial|International journal of environmental research and public health|2021-02-01|['Cancer']|['Undefined']|['cardiovascular fitness', 'balance', 'dynamic balance', 'flexibility', 'strength', 'muscle strength', 'physical fitness']|Cisplatin administration may induce muscle atrophy, thereby reducing the fitness level of patients with head and neck cancer (HNC). To date, only animal studies have been conducted to test the effectiveness of exercise interventions in diminishing side effects of cisplatin. To determine whether exercise training improves physical fitness and health-related quality of life (HRQoL) in patients receiving chemotherapy for Head & Neck (H&N). This pilot-randomized controlled trial was conducted on 57 participants receiving chemotherapy for HNC. The participants were randomized into an exercise group and a control group. The exercise group received moderate-intensity combined aerobic, resistance and flexibility exercises three times a week for eight weeks during chemotherapy. The control group received no specific information regarding exercise. The outcome measures including body composition, muscle strength, balance, flexibility, cardiovascular fitness and health-related quality of life (HRQoL) were assessed at baseline and eight weeks following baseline. The body composition (body fat percentage, p = 0.002; skeletal muscle percentage, p = 0.008), dynamic balance ( p = 0.01), muscle strength (upper extremity, p = 0.037; lower extremity, p = 0.025) and HRQoL ( p = 0.001) showed a significant difference between the exercise group and the control group eight weeks following baseline. Significant deteriorations were noted in flexibility, muscle strength, cardiovascular fitness and several domains of HRQoL scale in the control group at eight weeks following baseline. This study found that a combined aerobic, resistance and flexibility exercise program during chemotherapy may improve physical fitness (i.e., muscle strength, balance, flexibility and body composition) and HRQoL and alleviate the deterioration of cardiovascular fitness in patients with HNC. Further research studies with large sample sizes are warranted to investigate the long-term effects of exercise in this population.|[{'npi': 'exercise interventions', 'out': 'cardiovascular fitness', 'dis': 'Cancer', 'eff': 3}, {'npi': 'exercise interventions', 'out': 'balance', 'dis': 'Cancer', 'eff': 3}, {'npi': 'exercise interventions', 'out': 'dynamic balance', 'dis': 'Cancer', 'eff': 3}, {'npi': 'exercise interventions', 'out': 'flexibility', 'dis': 'Cancer', 'eff': 3}, {'npi': 'exercise interventions', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'exercise interventions', 'out': 'physical fitness', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'cardiovascular fitness', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'balance', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'dynamic balance', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'flexibility', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'physical fitness', 'dis': 'Cancer', 'eff': 3}]
33043381|10.2340/16501977-2752|resistance band training after triamcinolone acetonide injection for subacromial bursitis: a randomized clinical trial|Journal of rehabilitation medicine|2021-01-05|['Undefined']|['Adult']|['range of motion', 'strength', 'muscle strength', 'proprioception']|To investigate the effect of progressive resistance training using resistance (elastic) bands on subacromial bursitis following triamcinolone acetonide injection. Randomized clinical trial. A total of 68 patients with subacromial bursitis were randomized to a triamcinolone acetonide group or a triamcinolone acetonide plus resistance band training group. Visual analogue scale, Constant scores, range of motion, proprioception, and muscle strength were evaluated at pretreatment and at 3, 12 and 24 weeks' follow-up. Re-treatment ratio was calculated at one-year follow-up. At 3 and 12 weeks, both the triamcinolone acetonide group and triamcinolone acetonide plus resistance band training group showed a significant improvement in Visual analogue scale score, Constant score, range of motion, proprioception and muscle strength. Although the scores in the triamcinolone acetonide group had not increased at 24 weeks compared with baseline, the scores in the triamcinolone acetonide plus resistance band training group showed continued improvement at 24 weeks. A lower proportion of patients in the triamcinolone acetonide plus resistance band training bands group than in the triamcinolone acetonide group had received re-treatment at one-year follow-up (12.1% vs 82.9%). Progressive resistance training with resistance (elastic) bands has the advantages of extending the benefits of corticosteroid injection and maintaining long-term effects on shoulder function in patients with subacromial bursitis.|[{'npi': 'resistance training', 'out': 'range of motion', 'dis': 'Undefined', 'eff': 3}, {'npi': 'resistance training', 'out': 'muscle strength', 'dis': 'Undefined', 'eff': 3}, {'npi': 'resistance training', 'out': 'proprioception', 'dis': 'Undefined', 'eff': 3}, {'npi': 'physical activity', 'out': 'range of motion', 'dis': 'Undefined', 'eff': 3}, {'npi': 'physical activity', 'out': 'muscle strength', 'dis': 'Undefined', 'eff': 3}, {'npi': 'physical activity', 'out': 'proprioception', 'dis': 'Undefined', 'eff': 3}]
33097408|10.1016/j.numecd.2020.08.022|association of physical activity and risk of atrial fibrillation in heart failure with preserved ejection fraction|Nutrition, metabolism, and cardiovascular diseases : NMCD|2021-01-04|['Heart Diseases']|['Elderly', 'Adult']|['mortality', 'systolic function']|Physical activity (PA) could modify the risk of atrial fibrillation (AF) in the general population and mortality in heart failure patients with preserved ejection fraction (HFpEF). HFpEF patients are frequently concomitant with AF, but whether PA could modify the risk of AF in HFpEF patients remains undiscovered. We performed a post hoc analysis of the TOPCAT trial. Patients without AF at baseline and with data on PA (n = 652) were included. The association between PA and risk of AF occurrence was explored using the Cox proportional hazard model. During a median follow-up of 2.84 years, 9.4% of the studied patients (n = 60) had an occurrence of AF. When PA was analyzed as a continuous variable, every ten-fold increase of PA was associated with a 42.8% risk reduction of AF occurrence (hazard ratio [HR] 0.572, 95% CI 0.357-0.916, p = 0.020). When HFpEF patients were divided into three tertile groups according to PA levels, patients in the second tertile (HR 0.507, 95% CI 0.272-0.946, p = 0.033) and the third tertile (HR 0.487, 95% CI 0.261-0.908, p = 0.024) had significantly lower risks of AF occurrence when compared to those in the first tertile. Our current results suggest that a higher PA level associates with a lower risk of AF in HFpEF patients. URL: https://clinicaltrials.gov. Unique identifier: NCT00094302.|[{'npi': 'physical activity', 'out': 'mortality', 'dis': 'Heart Diseases', 'eff': 3}, {'npi': 'physical activity', 'out': 'systolic function', 'dis': 'Heart Diseases', 'eff': 3}]
32694366|10.1249/MSS.0000000000002438|effect of functional impact training on body composition, bone mineral density, and strength in breast cancer survivors|Medicine and science in sports and exercise|2021-01-01|['Cancer']|['Undefined']|['metabolism', 'bone mineral density', 'strength']|The purpose of this study was to examine the effects of 24 wk of functional impact training (FIT) that consisted of resistance and high-impact exercises in comparison with yin yoga on body composition, bone mineral density (BMD), blood biomarkers for bone metabolism, and strength in breast cancer survivors (BCS). Forty-four BCS (60.3 ± 8.3 yr) were randomly assigned to the FIT or yin yoga group. Body composition and BMD were measured via dual energy x-ray absorptiometry. Blood biomarkers for bone metabolism were analyzed via enzyme-linked immunosorbent assays. Upper and lower body strength was assessed using a one-repetition maximum chest press and isokinetic knee extension/flexion using the Biodex System 3, respectively. Participants completed 45-min FIT or yin yoga sessions twice weekly for 24 wk. Changes in dependent variables over time were analyzed using repeated-measures ANOVA. Significance was accepted at P ≤ 0.05. There were no group-time effects for body composition, BMD, or blood biomarkers. Main effects were observed for left femoral neck (0.883 ± 0.138 to 0.870 ± 0.131 g·cm) and left forearm (0.465 ± 0.078 to 0.457 ± 0.069 g·cm) BMD. The FIT group improved upper body strength (73.2 ± 18.1 to 83.2 ± 22.3 kg), whereas the yin yoga group did not (59.8 ± 14.8 to 59.3 ± 15.6 kg). Main time effects were observed for peak isokinetic knee extension and flexion at all speeds with an average improvement of 13.2% and 16.2%, respectively. Both FIT and yin yoga may be beneficial exercise modes for improving lower body strength, although only FIT improved upper body strength. Additional research is needed to examine the effectiveness of FIT programs of longer duration and/or higher intensity on body composition and BMD in BCS.|[{'npi': 'yoga', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}]
31243692|10.1007/s13187-019-01564-9|low-intensity resistance training and compression garment in the management of breast cancer-related lymphedema: single-blinded randomized controlled trial|Journal of cancer education : the official journal of the American Association for Cancer Education|2020-12-01|['Cancer']|['Adult']|['lymphedema', 'pain', 'range of motion']|There is limited evidence regarding the combined effect of exercise and compression garment on breast cancer-related lymphedema (BCRL). Therefore, we investigate the effect of low-intensity resistance training alone or in combination with a compression garment on lymphedema volume, self-reported lymphedema symptoms, and shoulder mobility and function. A total of 60 women with unilateral BCRL were randomly assigned to low-intensity resistance exercises (Rex group, n = 30) or exercises and compression garment (Rex-Com-group, n = 30). Both groups take part in exercises program consisted of 10-12 repetitions at 50 to 60% of one repetition maximum (IRM), three times weekly, for 8 weeks. The primary outcome was lymphedema volume determined by percentage reduction of excess limb volume (ELV). Secondary outcomes were lymphedema symptoms (pain, heaviness, and tightness) and shoulder mobility and function using the disabilities of the arm, shoulder, and hand (DASH) questionnaire. All measurements were standardized and performed before (week 0, W0), after the intervention (week 8, W8), and at follow-up (week 12, W12). A significant reduction in percentage of ELV (p < 0.01), pain severity (p < 0.05), a sensation of heaviness (p < 0.05) and tightness (p < 0.001), and improvement in shoulder range of motion (p < 0.05) and function on DASH scores (p < 0.05) were observed at W8 and W12 in both groups. However, no between-group differences were observed over time. These findings suggest that low-intensity resistance training, irrespective of garment use, can effectively reduce limb volume and lymphedema symptoms, and increase shoulder mobility and function.|[{'npi': 'physical activity', 'out': 'pain', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'range of motion', 'dis': 'Cancer', 'eff': 3}, {'npi': 'muscle stretching exercises', 'out': 'lymphedema', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'lymphedema', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'pain', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'range of motion', 'dis': 'Cancer', 'eff': 3}, {'npi': 'compression garments', 'out': 'lymphedema', 'dis': 'Cancer', 'eff': 3}, {'npi': 'compression garments', 'out': 'pain', 'dis': 'Cancer', 'eff': 3}, {'npi': 'compression garments', 'out': 'range of motion', 'dis': 'Cancer', 'eff': 3}]
33206670|10.1371/journal.pone.0241359|effects of small-sided recreational team handball training on mechanical muscle function, body composition and bone mineralization in untrained young adults-a randomized controlled trial|PloS one|2020-11-18|['Undefined']|['Adult']|['musculoskeletal fitness', 'bone health', 'bone mineral density', 'balance', 'strength', 'muscle strength']|Prolonged physical inactivity in young adults may lead to deficiencies in musculoskeletal fitness, and thus a need exists to develop physical activity and exercise programmes that are effective of increasing musculoskeletal fitness. The aim of this study, therefore, was to investigate the effects of small-sided team handball training on lower limb muscle strength, postural balance and body composition in young adults. Twenty-six men and twenty-eight women were stratified for peak oxygen uptake (VO2peak) and body fat percentage and randomly allocated to either 12 wks of small-sided recreational team handball training (THG: 14 men and 14 women, age 24.1±2.6 yrs (mean±SD), VO2peak 39.8±5.9 ml/kg/min and body fat percentage 32.7±8.7%) or serving as non-exercising controls (CON: 12 men and 14 women, age 24.8±3.1 yrs, VO2peak 39.7±5.0 ml/kg/min, body fat percentage 31.7±9.7%). THG trained on average 1.8 times/week for 12 wks. At 0 and 12 wks, lower limb muscle strength, rate of force development (RFD), vertical jump height and power, postural balance, body composition and muscle biopsies were assessed. No training effects were observed for maximal isokinetic or isometric knee extensor strength, maximal vertical jump height or take-off power, fibre type distribution or capillarization. Late phase (RFD) increased (+7.4%, p<0.05) and postural sway excursion length was improved after training (-9%, p<0.05) in THG with no difference from CON (p>0.05). Further, THG demonstrated a decrease in body fat percentage (-3.7%) accompanied by increases in whole-body fat free mass (FFM) (+2.2%), leg FFM (+2.5%), total bone mineral content (BMC) (+1.1%), leg BMC (+1.2%), total hip bone mineral density (+1.6%) and hip T-score (+50%) which differed from CON (all p<0.05). In conclusion, recreational small-sided team handball training appears to effectively improve rapid force capacity, postural balance, lean and fat body mass and bone health in previously untrained young adults. The study was registered at ClinicalTrials.gov (NCT04247724). ClinicalTrials.gov ID number: NCT04247724.|[{'npi': 'physical activity', 'out': 'bone health', 'dis': 'Undefined', 'eff': 3}, {'npi': 'physical activity', 'out': 'bone mineral density', 'dis': 'Undefined', 'eff': 3}, {'npi': 'sports', 'out': 'bone health', 'dis': 'Undefined', 'eff': 3}, {'npi': 'sports', 'out': 'bone mineral density', 'dis': 'Undefined', 'eff': 3}]
33184928|10.1111/ppc.12684|the effectiveness of tai chi chuan on fear of movement, prevention of falls, physical activity, and cognitive status in older adults with mild cognitive impairment: a randomized controlled trial|Perspectives in psychiatric care|2020-11-13|['Alzheimer Disease']|['Adult']|['falls']|This study aimed to investigate the effectiveness of Tai Chi Chuan (TCC) on fear of movement, prevention of falls, physical activity, and cognitive status in older adults with mild cognitive impairment. This controlled trial was conducted with 20 participants in the intervention group, and they did exercises for 35-40 min/session, twice a week for 12 weeks. The posttest scores of the scales indicated that the scores of cognitive adaptations, being observant, and changes in level subscales of the fall behavioral scale in the older adults who did Tai Chi exercise in the intervention group significantly increased (p < .01). The nursing home provider can safely manage TCC exercise interventions for older adults with MCI.|[{'npi': 'physical activity', 'out': 'falls', 'dis': 'Alzheimer Disease', 'eff': 3}, {'npi': 'tai chi', 'out': 'falls', 'dis': 'Alzheimer Disease', 'eff': 3}, {'npi': 'exercise interventions', 'out': 'falls', 'dis': 'Alzheimer Disease', 'eff': 3}]
31403944|10.3233/JAD-181175|exercise training in amnestic mild cognitive impairment: a one-year randomized controlled trial|Journal of Alzheimer's disease : JAD|2020-11-04|['Alzheimer Disease']|['Elderly', 'Adult']|['cognitive dysfunctions', 'memory', 'learning', 'executive function']|The current evidence is inconclusive to support the benefits of aerobic exercise training (AET) for preventing neurocognitive decline in patients with amnestic mild cognitive impairment (aMCI). To examine the effect of a progressive, moderate-to-high intensity AET program on memory and executive function, brain volume, and cortical amyloid-β (Aβ) plaque deposition in aMCI patients. This is a proof-of-concept trial that randomized 70 aMCI patients to 12 months of AET or stretching and toning (SAT, active control) interventions. Primary neuropsychological outcomes were assessed by using the California Verbal Learning Test-second edition (CVLT-II) and the Delis-Kaplan Executive Function System (D-KEFS). Secondary outcomes were the global and hippocampal brain volumes and the mean cortical and precuneus Aβ deposition. Baseline cognitive scores were similar between the groups. Memory and executive function performance improved over time but did not differ between the AET and SAT groups. Brain volume decreased and precuneus Aβ plaque deposition increased over time but did not differ between the groups. Cardiorespiratory fitness was significantly improved in the AET compared with SAT group. In amyloid positive patients, AET was associated with reduced hippocampal atrophy when compared with the SAT group. The AET and SAT groups both showed evidence of slightly improved neuropsychological scores in previously sedentary aMCI patients. However, these interventions did not prevent brain atrophy or increases in cortical Aβ deposition over 12 months. In amyloid positive patients, AET reduced hippocampal atrophy when compared with the SAT group.|[{'npi': 'physical activity', 'out': 'memory', 'dis': 'Alzheimer Disease', 'eff': 3}, {'npi': 'physical activity', 'out': 'executive function', 'dis': 'Alzheimer Disease', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'memory', 'dis': 'Alzheimer Disease', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'executive function', 'dis': 'Alzheimer Disease', 'eff': 3}]
32660264|10.1177/0269215520941912|resistance training impact on mobility, muscle strength and lean mass in pancreatic cancer cachexia: a randomized controlled trial|Clinical rehabilitation|2020-11-01|['Cancer']|['Undefined']|['lean body mass', 'body mass index', 'range of motion', 'strength', 'muscle strength']|To determine the efficacy of a three-month resistance training programme on the mobility, muscle strength and lean body mass of patients with pancreatic cancer-induced cachexia. Randomized controlled trial. Elsahel Teaching Hospital, outpatient clinic of the Faculty of Physical Therapy, Cairo, Egypt. Patients with pancreatic cancer-induced cachexia. Participants were randomized to the resistance training group ( n = 20) and control group ( n = 20). Outcomes including mobility, muscle strength and lean body mass were measured at baseline, three months after surgical resection and 12 weeks after intervention. The mean (SD) age was 51.9 (5.03) years and body mass index was 21.1 (1.13) kg/m²; 65% of patients were male. Compared to the control group, the resistance training group showed significant improvement in mobility: 400-m walk performance (270.3-256.9 seconds vs 266.4-264.2 seconds, respectively) and chair rise (13.82-12.53 seconds vs 13.77-13.46 seconds, respectively). Similarly, muscle strength was also significantly improved in the resistance training group than in the control group; we observed increase in peak torque of knee extensors ( P = 0.004), elbow flexors ( P = 0.001) and elbow extensors, improvement in lean mass of the upper limb (6.28-6.46 kg vs 6.31-6.23 kg, respectively) and lower limb (16.31-16.58 kg vs 16.4-16.31 kg, respectively). A three-month resistance training improved the mobility of patients with pancreatic cancer-induced cachexia. Muscle strength and lean body mass also improved.|[{'npi': 'resistance training', 'out': 'lean body mass', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'lean body mass', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}]
32120378|10.1038/s41390-020-0818-5|moderators in a physical activity intervention for adolescent girls|Pediatric research|2020-11-01|['Cardiovascular diseases', 'Overweight']|['Adolescent']|['cardiovascular risk', 'weight', 'body mass index']|The purpose was to explore whether baseline sociodemographic and physical characteristics moderated effects of an intervention on moderate-to-vigorous physical activity (MVPA), percent body fat, body mass index z-score, and cardiorespiratory fitness (CRF) at post intervention, relative to the control condition. A secondary analysis of data from a group randomized trial including 24 schools (12 intervention and 12 control; N = 1519 girls) was conducted. Age, ethnicity, race, socioeconomic status, and pubertal stage were assessed via survey. Height, weight, MVPA (min/h), percent body fat, and CRF were measured. Mixed-effects linear models were performed. Compared to the control, the intervention increased overweight and obese girls' CRF (b = 0.28, p = 0.049; b = 0.31, p < 0.01, respectively), but not healthy weight girls' CRF (b = 0.04, p = 0.706). Pre- to mid-puberty girls in the intervention group had slightly lower post-intervention MVPA than those in the control (3.04 vs. 3.31, p = 0.055), while late to post-puberty intervention and control girls' post-intervention MVPA was similar (3.12 vs. 3.04, p = 0.542). A PA intervention can improve overweight and obese girls' CRF, possibly attenuating their cardiovascular risk. Effective strategies are needed to assist adolescent girls, especially those in pre- to mid-puberty, in maintaining their MVPA after an intervention ends. Moderators of physical activity intervention effects among adolescent girls are important to identify because the effectiveness of these interventions to date in this population has been limited. This article contributes to the notable gap in knowledge regarding moderators in physical activity interventions involving adolescent girls, particularly baseline characteristics that may moderate their responses to physical activity interventions. Awareness of the moderators can be useful for determining the type of intervention that may be successful in subgroups of adolescent girls and for tailoring a physical activity intervention to optimally meet each girl's needs to achieve maximal effects. Findings show that weight status moderated the intervention effects on cardiorespiratory fitness. Compared to the control condition, the intervention increased overweight and obese, but not healthy weight, girls' cardiorespiratory fitness. A physical activity intervention can improve overweight and obese girls' cardiorespiratory fitness, possibly attenuating their cardiovascular risk. Therefore, it is essential to include overweight and obese girls in PA interventions to help them reap this important benefit.|[{'npi': 'physical activity', 'out': 'cardiovascular risk', 'dis': 'Cardiovascular diseases', 'eff': 2}, {'npi': 'physical activity', 'out': 'cardiovascular risk', 'dis': 'Overweight', 'eff': 2}, {'npi': 'physical activity', 'out': 'weight', 'dis': 'Cardiovascular diseases', 'eff': 2}, {'npi': 'physical activity', 'out': 'weight', 'dis': 'Overweight', 'eff': 2}, {'npi': 'physical activity', 'out': 'body mass index', 'dis': 'Cardiovascular diseases', 'eff': 2}, {'npi': 'physical activity', 'out': 'body mass index', 'dis': 'Overweight', 'eff': 2}]
32739704|10.1016/j.jad.2020.07.052|aerobic exercise or stretching as add-on to inpatient treatment of depression: similar antidepressant effects on depressive symptoms and larger effects on working memory for aerobic exercise alone|Journal of affective disorders|2020-11-01|['Depression']|['Adolescent', 'Adult']|['body mass index', 'depression', 'flexibility', 'endurance', 'cognitive performance', 'memory', 'working memory']|Aerobic exercise (AE) has positive effects on symptom severity and cognitive symptoms of depression. Since data on AE as add-on to inpatient treatment in depression is still scarce, we conducted this double-blind randomized controlled study. Patients aged between 18 and 60 years were recruited into the study if Hamilton Depression Rating Scale 17 (HDRS-17) score was >16. Participants were randomly assigned to either AE or basic stretching activities (control), which took place 3x/week for 6 weeks. Primary outcome was depression severity as assessed with the HDRS-17 and the Beck Depression Inventory (BDI). Further physiological and psychological variables and cognitive performance were assessed as secondary outcomes. Forty-two patients were included in the analysis (exercise: n = 22; control: n = 20). Regardless of group allocation, we found a significant short-term time effect for symptom-severity (HDRS17: p<0.001, η²=0.70; BDI: p<0.001, η²=0.51), mental toughness (p<0.001, η²=0.32), physical self-description endurance score (p = 0.013, η²=0.16), cognitive flexibility (p = 0.013, η²=0.14), and body mass index (BMI) (p = 0.006, η²=0.19). Working memory showed a significant time by group interaction in favor of AE (p = 0.043, η²=0.10). Short-term effects on symptom severity, mental toughness and BMI remained stable across the 6-month follow-up period. Finally, self-reported physical activity increased significantly from baseline to follow-up (p = 0.014, η²=0.15). The sample-size is rather small. The control intervention might have been too active as to find a time by group interaction for symptom severity. AE was associated with comparably large depression alleviation vs. stretching and with add-on benefits on working memory.|[{'npi': 'physical activity', 'out': 'depression', 'dis': 'Depression', 'eff': 3}, {'npi': 'physical activity', 'out': 'cognitive performance', 'dis': 'Depression', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'depression', 'dis': 'Depression', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'cognitive performance', 'dis': 'Depression', 'eff': 3}]
32992871|10.3390/jcm9103098|high-intensity interval training is effective at increasing exercise endurance capacity and is well tolerated by adults with cystic fibrosis|Journal of clinical medicine|2020-09-25|['Cystic Fibrosis']|['Adult']|['fibrosis', 'exercise capacity', 'physical functioning', 'endurance']|To optimize outcomes in people with cystic fibrosis (CF), guidelines recommend 30 to 60 min of moderate-intensity aerobic exercise on most days. Accumulating this volume of exercise contributes importantly to the substantial treatment burden associated with CF. Therefore, the main aim of this study was to investigate the effects of low-volume high-intensity interval training (HIIT) on exercise capacity in people with CF. This randomized controlled trial included people with CF aged ≥15 years, who were allocated to either eight weeks of thrice-weekly 10-min sessions of HIIT (experimental group) or eight weeks of weekly contact (control group). Before and after the intervention period, participants completed measurements of time to symptom limitation (T lim ) during a constant work rate cycle ergometry test (primary outcome), and maximal work rate (W max ) during a ramp-based cycle ergometry test and health-related quality of life (HRQoL). Fourteen participants (median (IQR) age 31 (28, 35) years, forced expiratory volume in 1 second (FEV 1 ) 61 (45, 80) % predicted) were included (seven in each group). Compared to the control group, participants in the experimental group demonstrated a greater magnitude of change in T lim , W max ( p = 0.017 for both) and in the physical function domain of HRQoL ( p = 0.03). No other between-group differences were demonstrated. Mild post-exercise muscle soreness was reported on a single occasion by four participants. Overall, participants attended 93% of all HIIT sessions. Eight weeks of low-volume (i.e., 30-min/week) HIIT produced gains in exercise capacity and self-reported physical function and was well tolerated by people with CF.|[{'npi': 'high-intensity interval training', 'out': 'exercise capacity', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'high-intensity interval training', 'out': 'physical functioning', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'high-intensity interval training', 'out': 'endurance', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'exercise capacity', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'physical functioning', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'endurance', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'physical activity', 'out': 'exercise capacity', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'physical activity', 'out': 'physical functioning', 'dis': 'Cystic Fibrosis', 'eff': 3}, {'npi': 'physical activity', 'out': 'endurance', 'dis': 'Cystic Fibrosis', 'eff': 3}]
32516744|10.1016/j.yebeh.2020.107148|evaluation of factors influencing obesity and the effect of a 12-week home-based exercise program in people with epilepsy - randomized control trial|Epilepsy & behavior : E&B|2020-09-01|['Overweight', 'Epilepsy']|['Undefined']|['weight', 'body mass index', 'physical fitness']|Association of obesity, quality of life (QoL), and physical fitness in people with epilepsy (PWE) is rarely reported. We evaluate the effect of a 12-week home-based exercise program on weight reduction and physical capacity in PWE. In 173 PWE, physical fitness was assessed by using six-minute walk test (6MWT) and one-minute step test. Self-reported QoL data was collected using a 12-Item Short Form Survey (SF-12) questionnaire; further physical (PCS) and mental (MCS) component scores were derived. Effect of exercise was evaluated using randomized study of 110 PWE, divided into control and exercise groups of 55 each. At baseline, mean age of study population was 25.85±9.62years with 77 (44.5%) women. Average body mass index (BMI) was 29.33±6.17kg/m 2 . Mean PCS and MCS were 45.95±7.92 and 45.72±10.40 respectively. In 124 (71.7%) PWE with obesity, while high-density lipoprotein (HDL-C) (46.10±12.32 vs. 39.30±10.39mg/dL; p<.001) was lower, low-density lipoprotein (LDL-C) (101.60±37.51 vs. 113.89±32.65mg/dL; p=.035) was high. Both the randomized groups were comparable for type and number of antiepileptic drugs (AEDs) used. At 12-week follow-up, PWE in the exercise group reduced 7.65±5.62kg while control group gained an average of 4.01±4.74kg (p<.001). Distance walked in 6MWT (293.07±118.73 vs. 464.29±55.33m; p=.007) and PCS (48.59±8.57 vs. 52.62±4.03; p=.006) were higher in exercise group whereas MCS did not differ between the groups. None of the participants reported seizure during the 12-week follow-up period. People with epilepsy have low PCS and MCS scores; PWE with obesity have altered metabolic profile when compared to PWE without obesity. A 12-week, home-based exercise program significantly reduces weight and improves physical capacity, irrespective of AEDs used. Trials with larger sample size and longer follow-up are required to validate our findings.|[{'npi': 'physical activity', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}]
32763533|10.1016/j.psychres.2020.113258|effects of aerobic exercise on cardiorespiratory fitness and social functioning in veterans 40 to 65 years old with schizophrenia|Psychiatry research|2020-09-01|['Schizophrenia']|['Adult', 'Elderly']|['psychological health', 'social functioning']|The usual physical activity level of people with chronic histories of schizophrenia is very low. In this pilot study, we examined the effects of an easy to implement aerobic exercise (AE) program on cardiorespiratory fitness and social functioning in 54 Veterans aged 40-65 years old with schizophrenia. Participants were randomized 2:1 to AE (36 forty-minute sessions conducted 3 times per week over 12 weeks) versus a non-aerobic stretching exercise condition conducted under the same regimen and timeframe. Cardiorespiratory fitness improved significantly within the AE group (p<.0001), and differed significantly from the comparison group (p<.02; Cohen's d=.41). Trend-level improvements were seen in social functioning within the AE group (p<.09) and showed a similar trend level difference in the between-group comparison (p<.06; Cohen's d=.35). Improvements in social functioning were significantly related to gains in cardiorespiratory fitness (r=.42; p<.01). AE effects on other physical and mental health indices were also examined. Overall, the AE intervention was well-tolerated, safe, and showed low rates of attrition after the commencement of training. Our findings indicate it is feasible to improve cardiorespiratory fitness in this clinical population, and there is suggestive evidence that the interventions aimed to do so may also benefit social functioning.|[{'npi': 'physical activity', 'out': 'social functioning', 'dis': 'Schizophrenia', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'social functioning', 'dis': 'Schizophrenia', 'eff': 3}]
